LocName,LocatieLocalitate,LocatieDescriere
1. Abaţia Cisterciana de la Cârţa,Cârţa SB,"Abatia este de fapt o veche manastire fondata in anii 1205-1206 de catre regele Andrei al II-lea al Ungariei. Totusi momentul exact la care a fost fondata manastirea nu se cunoaste.
Istoria abatiei a fost una foarte agitata. In 1474 a fost desfiintata de catre Matei Corvin pe vremea aceea rege al Ungariei."
2. Alexandria,Alexandria TL,"Capitala judeţului Teleorman oraş nou întemeiat în 1834. Arhitectul austriac Otto von Moritz care a făcut planurile oraşului este cel care a dezvoltat planurile Brăilei ale Giurgiului şi dupa Alexandria pe cele ale Drobetei Turnu Severin. Numele oraşului vine de la numele domnitorului de atunci al Țării Românești Alexandru Dimitrie Ghica (1834 - 1842) ale cărui oseminte se găsesc depuse astăzi într-un monumental sarcofag din incinta Catedralei Episcopale ""Sfântul Alexandru"".
Cu toate acestea s-au găsit multiple mărturii ale unor civilizaţii băştinaşe mult mai vechi. În apropierea actualului oraș în punctul numit ""La Vii"" (la 2 km spre nord) au fost descoperite urmele unei așezări geto-dace datând din sec V-IV î.Hr. în care s-au găsit vase de ceramică (străchini cupe cu două toarte etc.) lucrate cu mâna sau la roată piese din bronz (3 fibule) ș.a. În punctul numit ""La Hectare"" (2 km SE de oraș) s-au identificat urmele unei așezări datând din sec. IV d.Hr. formată din bordeie rectangulare (280 x 450 m) în care s-au găsit vase de ceramică din pastă cenușie sau cărămizie lucrate la roată cu linii de decor incizate. Pe malul stâng al râului Vedea a fost descoperită o așezare veche românească datând din sec. VIII-XI."
3. Ansamblu bisericii Sfinții Arhangheli Mihail și Gavril,Rozavlea MM,A fost  ridicată între anii 1717 – 1720 pe locul alteia mai vechi arsă de tătari. Este situată în județul Maramureș comuna Rozavlea satul Rozvlea pe Valea Izei la 35km de municipiul Sighetu Marmației.
4. Ansamblu de arhitectură tehnică populară,Budești MM,Cel mai important ansamblu de instalații tehnice tradiționale din Maramureș alimentate cu forța apei: vâltoare moară pălincie piuă și batoză datează din sec. XIX comuna Budești sat Sârbi jud. Maramureș. Acces din Drumul Național 18 pe Drumul Județean  109 F. Distanța din orașul Cavnic până în com. Budești este de 13 km.
5. Ansamblu de arhitectură tehnică populară – complex vâltori,Săpânța MM,Este un ansamblu de cinci vâltori din zona Săpânța realizate din lemn datează din sec XIX. Ansamblul este situat în sat Săpânța com Săpânța pe Drumul Național 19 la 19 km de mun. Sighetu Marmației jud. Maramureș
6. Ansamblul bisericii Adormirea Maicii Domnului Șișești,Șișești MM,A fost ridicată între anii 1672 – 1890. Este inclusă în complexul memorial Vasile Lucaciu din Șișești. Este situată în județul Maramureș comuna Șișești satul Șișești la 12 km de municipiul Baia Mare.
7. Ansamblul bisericii Adormirea Maicii Domnului,Moisei MM,A fost sfințită la 1672 de mitropolitul Sava Brancovici de Alba Iulia ca metoc al Mănăstirii Putna. Este situată în județul Maramureș comuna Moisei satul Moisei pe Izvorul Negru la 10 km de orașul Borșa (la 3 km de Drumul Național 18).
8. Ansamblul bisericii Sfinții Arhangheli Mihail și Gavril,Remetea MM,A fost construită în a doua jumătate a secolului al XVIII -lea într-o arhitectură de tip maramureşeană cu o planimetrie echilibrată ce impune prin armonia proporțiilor. Este situată în județul Maramureş comuna Remetea Chioarului satul Remetea la 25 km de municipiul Baia Mare.
9. Aria de pretecţie specială avifaunistică Divici-Pojejena sau Zona Umedă Divici-Pojejena,Pojejena CS,Aria de protectie speciala avifaunistica Divici – Pojejena are o suprafata de 498 ha si se afla pe teritoriul administrativ al comunei Pojejena (localitatile Divici Belobresca Susca si Pojejena) judetul Caras-Severin Compozitia faunistica si floristica este asemanatoare cu cea a celorlalte doua arii de protectie speciala avifaunistica. Local apar palcuri rare de Salix alba si Populus alba.
10. Avenul Borţigului,Pietroasa BH,Zona Munţilor Apuseni / Munţii Bihor / Padiş. Parcul Natural Apuseni. Avenul Borţig este un aven spectaculos cu o intrare având un diametru de 35 m. La baza puţului de intrare (de -38 m) se ajunge pe un mare bloc de gheaţă evidenţiat pe o diferenţă de nivel de 16 m. Avenul are o lungime totală de 150 m şi adâncime de 54 m pe care o obţine datorită unei galerii scurte ce dă acces la o sală de mari dimensiuni. Avenul este situat deasupra traseului subteran al Cetăţilor Ponorului accesul fiind însă împiedicat de blocul de gheaţă. Blocul de gheaţă pe care-l adăposteşte avenul are un volum de 30.000 mc situându-se pe al doilea loc din ţară după Gheţarul Scărişoara aflat şi acesta tot în Parcul Natural Apuseni. În apropiere se află Complexul Carstic Cetăţile Ponorului se pot admira de sus cele trei doline (urmând Circuitul Balcoanelor) poate fi vizitat locul numit Piatra Galbenei (un punct de belvedere extraordinar) sau Peştera Gheţarul Focul Viu şi Circuitul Groapa de la Barsa.
11. Avenul V5 (Peştera V5 Avenul din Fața Muncelului ),Padiş BH,"Este cea mai adâncă peșteră din România și pe cale să devină și cea mai lungă (acum cea mai lungă este Peştera Vântului). Peștera V5 este situată pe platoul carstic Padiș în depresiunea Vărășoaia de unde și inițiala numelui. Se poate ajunge de la Padiș pe marcajul ce duce la Peștera Cetatea Rădesei.

Condiţii de vizitare: Peștera V5 poate fi vizitată de echipe de speologi experimentați și necesită echipament de expolrare complet: costume impermeabile cizme corzi coboratoare blocatoare etc."
12. Bacău,Bacău BC,"Oraş pe râul Bistriţa; pe lângă Bacău trece Siretul. Menționarea orașului pe un act oficial datează încă din 1399. În arhivele Vaticanului pe hărțile Evului Mediu precum și în alte documente latine Bacăul apare sub numele de Bacovia sau Ad Bacum.
Biserica Precista

Marele istoric Nicolae Iorga este de părere că denumirea orașului Bacău derivă de la slavul Bâc = Zimbru bour taur ceea ce denotă că pe aceste meleaguri au fost întinse păduri în care trăiau turme de zimbri.
Orașul Bacău a fost ocupat o scurtă vreme de oștile maghiare conduse de Matei Corvin în anul 1467. Localitatea este cunoscută și datorită importanței sale în relațiile comerciale dintre Moldova Transilvania și Țara Românească fiind un important punct de vamă. În secolului al XV-lea în acest oraș s-a stabilit Alexăndrel fiul lui Ștefan cel Mare care a dat ordin pentru construirea Curții Domnești și Bisericii Precista celebre monumente istorice."
13. Baia Mare,Baia Mare MM,"Este atestat la 1329 (cu numele Râul Doamnelor în latină Rivulus Dominarum) şi a fost un centru aurifer în secolele 14-15. În 1446 orașul devine proprietatea familiei lui Iancu de Hunedoara. În 1469 sub conducerea regelui maghiar Matia Corvinul (fiul lui Iancu de Hunedoara) orașul este fortificat. În acea perioadă se construieşte Catedralei Sfântul Ștefan din care în prezent se mai păstrează doar Turnul Ștefan.
În secolul al XIV-lea în Baia Mare funcționa o monetărie. În timpul domniei lui Matei Corvin după anul 1468 pe monedele bătute în Baia Mare apar două ciocane de miner încrucișate care ulterior vor face parte atât din sigiliul cât și din stema orașului. Operația de spălare a nisipului aurifer în albiile râurilor din regiune era preponderent o atribuțiune a femeilor soțiile minerilor. Această ""imagine” surprinsă de cetățenii străini ce vizitau Baia Mare a stat la baza atribuirii denumirii de Cetatea Râul Doamnelor.
Informaţie: Turnul Combinatului are 351 de metri înălţime şi este cel mai înalt furnal din Romania și a treia construcție industrialǎ din Europa.

"
14. Băile Felix,Oradea BH,"Stațiunea Băile Felix este situată în partea de nord-vest a României în județul Bihor la o distanță de circa 9 KM de Oradea și la 22 KM de punctul de trecere a frontierei Borș. Așezat în câmpia Crisurilor la o altitudine de 150 m stațiunea are un climat continental moderat de șes cu ierni blânde și veri temperate cu influență mediteraniana ideală pentru turismul balnear. La dispoziția turiștilor întreg anul stațiunea balneoclimaterica Băile Felix oferă condiții de relaxare vacanță odihnă și recuperare. Sunt numeroase Pensiuni în Băile Felix care dispune de o bogată bază de tratament băi termale ștranduri (Apollo). "
15. Băile Govora,Băile Govora VL,"Staţiune celebră în România anilor trecuţi. Staţiunea Govora este una dintre cele 34 de staţiuni balneoclimaterice din ţara noastră (conform Wikipedia) şi a fost remarcată după ce un sătean Gheorghe Ciurea descoperă în urma unei săpături că izvorul lui scoate petrol şi apă sărată (1876). Până să devină oficial staţiune (în 1910) Govora oferea un singur stabiliment pentru tratament în cadrul mănăstirii Govora unde apa era cărată cu carul în butoaie.
Una dintre atracţiile zonei este mănăstirea Govora aflată la 6 kilometri de staţiune. Ea dăinuie din secolul XV şi a fost întemeiată se pare de Vlad Dracul (tatăl lui Vlad Ţepeş). La mănăstire a fost instalat pe vremea lui Matei Basarab al doilea tipar din Ţara Românească şi cu el a fost făcută prima lucrare tipărită în limba română Pravila de la Govora."
16. Băile Herculane,Băile Herculane CS,Băile Herculane este una dintre cele mai vechi stațiuni balneoclimaterice din lume și probabil prima din Europa (Al Aquas) existând de mai mult de 2000 de ani. Prin stațiune trecea Via Danubia drumul care făcea legătura dintre Dacia si restul Imperiului Roman - traseul este în lucrări și după ce va fi refăcut va intra pe lista de obiective turistice de seamă din România. La Băile Herculane poți face o baie termală noaptea în aer liber poți urca pe cărările ce duc spre vârful munților și spre crucea spre grotele existente poți admira Pinul Negru de Banat. Tot de aici poți ajuge cu ușurință la vechea graniță a Imperiului Austro-Ungar (Cheile Țasnei/Țâșnei). Sissi îmărata Imperiului Habsburgic a adus înflorirea în Herculane în anii 1700 lucru evident când ești la fața locului. Deasupra de Herculane la câțiva kilometri în amonte pe Cerna găsiți un baraj iar continuând linia apei o să ajungeți la Cerna Sat cu ale sale impresionante Chei ale Corcoaiei. Idee primită de la Cau (mir...a@yahoo.com)
