Column1,Column2
"Marseille is a vibrant city, a far cry from the past",https://www.tripsavvy.com/top-attractions-in-marseille-1517829
A vastly renovated Marseille has some great things to see and do,https://www.tripsavvy.com/guide-to-marseille-city-renewed-1517956
"Travel from London, the UK or Paris to Marseille",https://www.tripsavvy.com/uk-and-paris-to-marseille-1517924
Take the train from London to Marseille without a change,https://www.tripsavvy.com/london-to-marseille-by-direct-train-1517915
The vibrant city of Marseille has restaurants for every budget,https://www.tripsavvy.com/restaurants-in-marseille-1517355
How to Get From Barcelona to Marseille,https://www.tripsavvy.com/barcelona-to-marseille-1642842
Enjoy a Day in Marseille and Aix-en-Provence,https://www.tripsavvy.com/marseille-and-aix-en-provence-988796
The Mediterranean cities from Marseille to Montpellier are fabulous,https://www.tripsavvy.com/from-marseille-to-montpellier-1517513
These 6 French TV series will have you sitting on the edge of your chair,https://www.tripsavvy.com/top-french-tv-series-4047273
"Short, simple guide to the cities and matches for UEFA 2016 in France",https://www.tripsavvy.com/uefa-euro-in-france-4051912
Have you visited these 9 French cities? They're all worth a look at.,https://www.tripsavvy.com/top-french-cities-you-should-visit-1517713
Top 20 Most Popular French Cities for International Visitors,https://www.tripsavvy.com/popular-french-cities-for-visitors-1517438
