Schonbrunner Gardens;10,130 reviews;#1 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d319310-Reviews-Schonbrunner_Gardens-Vienna.html;['Nature & Parks', 'Sights & Landmarks', 'Gardens', 'Historic Walking Areas'];Closed NowHours Today: 8:30 AM - 7:00 PMSee all hours;['Sun - Sat', '8:30 AM - 7:00 PM'];;48.183338;16.300190;
Tiergarten Schoenbrunn - Zoo Vienna;9,750 reviews;#2 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d1519736-Reviews-Tiergarten_Schoenbrunn_Zoo_Vienna-Vienna.html;['Outdoor Activities', 'Nature & Parks', 'Zoos & Aquariums'];Zoo Vienna, the oldest existing zoo in the world founded in 1752. Schonbrunn Zoo was voted Europe's best in 2008, 2010 and 2012. Schonbrunn Zoo is the perfect place for a journey into the fascinating world of the animal kingdom. Open year round, it...more;['Sun - Sat', '9:00 AM - 6:30 PM'];2-3 hours;48.183517;16.302088;
Volksgarten;1,292 reviews;#3 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d319300-Reviews-Volksgarten-Vienna.html;['Nature & Parks', 'Sights & Landmarks', 'Monuments & Statues'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.203369;16.363859;
Vienna Woods;347 reviews;#4 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d260626-Reviews-Vienna_Woods-Vienna.html;['Nature & Parks', 'Forests'];Unspoiled forest land that lies to the west and south of the city of Vienna.;[];;48.274460;16.336866;
Kahlenberg;651 reviews;#5 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d590784-Reviews-Kahlenberg-Vienna.html;['Sights & Landmarks', 'Nature & Parks', 'Lookouts', 'Mountains'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.267632;16.297300;
Donaupark;215 reviews;#6 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d319283-Reviews-Donaupark-Vienna.html;['Nature & Parks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.239761;16.420561;
Haus des Meeres - Aqua Terra Zoo;1,474 reviews;#7 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d1835077-Reviews-Haus_des_Meeres_Aqua_Terra_Zoo-Vienna.html;['Nature & Parks', 'Outdoor Activities', 'Zoos & Aquariums'];Closed NowHours Today: 9:00 AM - 8:00 PMSee all hours;['Sun - Sat', '9:00 AM - 8:00 PM'];;48.197754;16.353146;
Stadtpark;1,441 reviews;#8 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d193993-Reviews-Stadtpark-Vienna.html;['Nature & Parks'];This bucolic city park, the highlight of which is a gilded statue of musician Johann Strauss in its center, was established in 1862.;[];As featured in Guide to Vienna Outdoors;48.205505;16.380468;
Belvedere Schlossgarten;147 reviews;#9 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d13418064-Reviews-Belvedere_Schlossgarten-Vienna.html;['Nature & Parks', 'Gardens'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.191261;16.379801;
Burggarten;638 reviews;#10 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d319282-Reviews-Burggarten-Vienna.html;['Sights & Landmarks', 'Nature & Parks', 'Historic Sites', 'Gardens'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.204227;16.365692;
Lainzer Tiergarten;129 reviews;#11 of 64 Nature & Parks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d240968-Reviews-Lainzer_Tiergarten-Vienna.html;['Zoos & Aquariums', 'Nature & Parks', 'Outdoor Activities', 'Nature & Wildlife Areas'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.263512;16.444256;
