Le Bar;68 reviews;#1 of 181 Nightlife in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d13838948-Reviews-Le_Bar-Vienna.html;['Nightlife', 'Bars & Clubs'];Exclusive champagnes. Selected cocktails. Distinguished vintages. Le Bar will delight your senses. You can choose from over 60 vintage champagnes, eight of which are available by the glass. Let our barkeeper Julio treat you to one of their bespoke...more;['Sun - Mon', '5:00 PM - 1:00 AM', 'Tue', '5:00 PM - 12:00 AM', 'Wed', '5:00 PM - 1:00 AM', 'Thu', '5:00 PM - 12:00 AM', 'Fri - Sat', '5:00 PM - 2:00 AM'];1-2 hours;48.204697;16.356600;
Vienna Nights Pub Crawl;246 reviews;#2 of 181 Nightlife in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d10545560-Reviews-Vienna_Nights_Pub_Crawl-Vienna.html;['Vienna Gnadenlos', '14 Reviews '];;[];;;;
Prime Tours;932 reviews;#3 of 181 Nightlife in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d10102923-Reviews-Prime_Tours-Vienna.html;['Three Wheely Rikscha', '65 Reviews '];;[];;;;
Jazzland;194 reviews;#4 of 181 Nightlife in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d245437-Reviews-Jazzland-Vienna.html;['Nightlife', 'Concerts & Shows', 'Jazz Clubs & Bars'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.212360;16.374962;
Hard Rock Cafe Vienna;507 reviews;#5 of 181 Nightlife in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d7647115-Reviews-Hard_Rock_Cafe_Vienna-Vienna.html;['Concerts & Shows', 'Nightlife', 'Bars & Clubs'];For more than 40 years, the Hard Rock Cafe has embodied the spirits of music and high-quality American cuisine. Combining elements of both the classical and the modern, the Hard Rock Café in Vienna features indoor seating for 142 guests, two upscale...more;[];;48.211319;16.375696;
Travel Shack Vienna;177 reviews;#6 of 181 Nightlife in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d6848595-Reviews-Travel_Shack_Vienna-Vienna.html;['Nightlife', 'Karaoke Bars', 'Bars & Clubs'];Sick of normal standard bars, boring Irish Pubs and overpriced Night Clubs?Then come experience a night out at the Famous Travel Shack. Like a pumping hostel bar just without the beds. Vienna's first and only Travelers Bar for Backpackers and...more;['Sun - Sat', '4:00 PM - 4:00 AM'];More than 3 hours;48.192799;16.338282;
Das Loft Bar & Lounge;493 reviews;#7 of 181 Nightlife in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d4954554-Reviews-Das_Loft_Bar_Lounge-Vienna.html;['Nightlife', 'Bars & Clubs'];Discover Vienna's social vibes at Das LOFT Bar & Lounge with energetic tunes live from the best DJ's in town, sip on a handcrafted drink specially created by one of our mixologists and enjoy the unbelievable view. Night Owl of just feel like...more;['Sun - Sat', '12:00 PM - 2:00 AM'];;48.212906;16.379593;
Schlumberger Kellerwelten;94 reviews;#8 of 181 Nightlife in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d7890270-Reviews-Schlumberger_Kellerwelten-Vienna.html;['Nightlife', 'Food & Drink', 'Wine Bars'];More than 300 year old cellar vaults keep a sparkling treasure. Discover the secrets of champagne production and find out about "disgorging" or "dosage". The art of manufacturing champagne and premium sparkling wine is cultivated at Schlumberger...more;['Wed', '11:00 AM - 9:30 PM', 'Thu - Sat', '11:00 AM - 6:00 PM'];1-2 hours;48.237404;16.357504;
Loosbar American Bar;322 reviews;#9 of 181 Nightlife in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d245341-Reviews-Loosbar_American_Bar-Vienna.html;['Nightlife', 'Bars & Clubs'];;['Sun - Sat', '12:00 PM - 4:00 AM'];;48.207207;16.371199;
Bockshorn Irish Pub;160 reviews;#10 of 181 Nightlife in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d282408-Reviews-Bockshorn_Irish_Pub-Vienna.html;['Nightlife', 'Bars & Clubs'];;[];;48.210037;16.367931;
Eberts Cocktail Bar;66 reviews;#11 of 181 Nightlife in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d7659335-Reviews-Eberts_Cocktail_Bar-Vienna.html;['Nightlife', 'Bars & Clubs'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.198036;16.355246;
