Historic Center of Vienna;18,736 reviews;#1 of 504 Sights & Landmarks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d1534524-Reviews-Historic_Center_of_Vienna-Vienna.html;['Sights & Landmarks', 'Points of Interest & Landmarks', 'Neighborhoods', 'Historic Walking Areas', 'Historic Sites'];The historic centre of Vienna is rich in beautiful architecture, including Baroque castles and gardens, as well as the late-19th-century Ringstrasse lined with grand buildings, monuments and parks.;[];As featured in Vienna, cosmopolitan city.;48.208591;16.369694;
Schonbrunn Palace;41,799 reviews;#2 of 504 Sights & Landmarks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d194165-Reviews-Schonbrunn_Palace-Vienna.html;['Sights & Landmarks', 'Architectural Buildings', 'Castles'];The Cultural World Heritage Site of Schönbrunn Palace is Austria's most frequently visited tourist attraction. In the palace the residential and state rooms with their original furnishings and decorations convey an authentic impression of the...more;['Sun - Sat', '8:00 AM - 5:30 PM'];< 1 hour;48.185135;16.312593;
Belvedere Museum;17,128 reviews;#3 of 504 Sights & Landmarks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d245701-Reviews-Belvedere_Museum-Vienna.html;['Museums', 'Sights & Landmarks', 'Architectural Buildings', 'Art Museums', 'Historic Sites'];The two Belvedere palaces were built in the early eighteenth century by the famous Baroque architect Johann Lucas von Hildebrandt to be used as the summer residence of Prince Eugene of Savoy (1663–1736). One of Europe’s most stunning Baroque...more;['Fri', '9:00 AM - 9:00 PM', 'Sat - Thu', '9:00 AM - 6:00 PM'];1-2 hours;48.191566;16.380894;
St. Stephen's Cathedral;23,193 reviews;#4 of 504 Sights & Landmarks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d191365-Reviews-St_Stephen_s_Cathedral-Vienna.html;['Sights & Landmarks', 'Points of Interest & Landmarks', 'Churches & Cathedrals'];Austria's most prominent national symbol, this magnificent cathedral is known for its intricately tiled roof and its nearly 500-foot-tall South Tower, which provides amazing views of the entire city.;['Sun', '7:00 AM - 10:00 PM', 'Mon - Sat', '6:00 AM - 10:00 PM'];1-2 hours;48.208012;16.372829;
Kirche am Steinhof;629 reviews;#5 of 504 Sights & Landmarks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d246425-Reviews-Kirche_am_Steinhof-Vienna.html;['Sights & Landmarks', 'Architectural Buildings', 'Sacred & Religious Sites'];Closed NowHours Today: 12:00 PM - 4:00 PMSee all hours;['Sun', '12:00 PM - 4:00 PM', 'Sat', '4:00 PM - 5:00 PM'];;48.207111;16.280420;
Schonbrunner Gardens;10,130 reviews;#6 of 504 Sights & Landmarks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d319310-Reviews-Schonbrunner_Gardens-Vienna.html;['Nature & Parks', 'Sights & Landmarks', 'Gardens', 'Historic Walking Areas'];Closed NowHours Today: 8:30 AM - 7:00 PMSee all hours;['Sun - Sat', '8:30 AM - 7:00 PM'];;48.183338;16.300190;
State Hall of the Austrian National Library;2,695 reviews;#7 of 504 Sights & Landmarks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d245775-Reviews-State_Hall_of_the_Austrian_National_Library-Vienna.html;['Traveler Resources', 'Sights & Landmarks', 'Architectural Buildings', 'Libraries', 'Points of Interest & Landmarks'];What comes to mind when you think of a library hall? Enter the State Hall of the Austrian National Library and your expectations are guaranteed to be exceeded. The State Hall – built in the 18th century as part of the former Court Library – is a...more;['Tue - Wed', '10:00 AM - 6:00 PM', 'Thu', '10:00 AM - 9:00 PM', 'Fri - Sun', '10:00 AM - 6:00 PM'];1-2 hours;48.206268;16.366863;
Palais Schonborn-Batthyany;246 reviews;#8 of 504 Sights & Landmarks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d10275800-Reviews-Palais_Schonborn_Batthyany-Vienna.html;['Sights & Landmarks', 'Castles'];The Vienna Baroque Orchestra Performs exclusive Baroque and Classical concerts in Vienna with virtuoso musicians and excellent opera singers. Together with the well-known Viennese Baroque Orchestra, you can embark on an unforgettable journey through...more;['Sun - Sat', '6:00 PM - 10:00 PM'];2-3 hours;48.211987;16.366259;
Church of the Jesuits;733 reviews;#9 of 504 Sights & Landmarks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d319305-Reviews-Church_of_the_Jesuits-Vienna.html;['Sights & Landmarks', 'Churches & Cathedrals', 'Sacred & Religious Sites', 'Architectural Buildings'];Closed NowHours Today: 7:00 AM - 6:00 PMSee all hours;['Sun - Sat', '7:00 AM - 6:00 PM'];;48.208759;16.377649;
Peterskirche;4,012 reviews;#10 of 504 Sights & Landmarks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d311245-Reviews-Peterskirche-Vienna.html;['Sights & Landmarks', 'Points of Interest & Landmarks', 'Churches & Cathedrals'];Closed NowHours Today: 9:00 AM - 9:00 PMSee all hours;['Mon - Fri', '7:00 AM - 8:00 PM', 'Sat - Sun', '9:00 AM - 9:00 PM'];;48.209621;16.370331;
Rathausplatz;2,630 reviews;#11 of 504 Sights & Landmarks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d246446-Reviews-Rathausplatz-Vienna.html;['Sights & Landmarks', 'Points of Interest & Landmarks'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.210556;16.359240;
Rathaus;5,318 reviews;#12 of 504 Sights & Landmarks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d592240-Reviews-Rathaus-Vienna.html;['Sights & Landmarks', 'Architectural Buildings', 'Government Buildings'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.210857;16.357382;
Central Cemetery (Zentralfriedhof);1,579 reviews;#13 of 504 Sights & Landmarks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d194163-Reviews-Central_Cemetery_Zentralfriedhof-Vienna.html;['Museums', 'Sights & Landmarks', "Children's Museums", 'Cemeteries'];Europe's second largest cemetery marks the final resting place for over 2.5 million people, including Beethoven, Brahms, Schubert and Strauss.;[];;48.148869;16.439966;
St. Anna's Church;250 reviews;#14 of 504 Sights & Landmarks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d2626307-Reviews-St_Anna_s_Church-Vienna.html;['Sights & Landmarks', 'Churches & Cathedrals'];Closed NowHours Today: 7:00 AM - 6:00 PMSee all hours;['Sun - Sat', '7:00 AM - 6:00 PM'];;48.204342;16.372089;
Volksgarten;1,292 reviews;#15 of 504 Sights & Landmarks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d319300-Reviews-Volksgarten-Vienna.html;['Sights & Landmarks', 'Nature & Parks', 'Monuments & Statues'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.203369;16.363859;
Dominican Church;202 reviews;#16 of 504 Sights & Landmarks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d3165396-Reviews-Dominican_Church-Vienna.html;['Sights & Landmarks', 'Churches & Cathedrals'];Closed NowHours Today: 7:30 AM - 9:00 PMSee all hours;['Sun', '7:30 AM - 9:00 PM', 'Mon - Sat', '7:00 AM - 7:00 PM'];;48.208912;16.378824;
Kahlenberg;651 reviews;#17 of 504 Sights & Landmarks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d590784-Reviews-Kahlenberg-Vienna.html;['Sights & Landmarks', 'Nature & Parks', 'Lookouts', 'Mountains'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.267632;16.297300;
KUNST HAUS WIEN. Museum Hundertwasser;1,527 reviews;#18 of 504 Sights & Landmarks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d191401-Reviews-KUNST_HAUS_WIEN_Museum_Hundertwasser-Vienna.html;['Museums', 'Sights & Landmarks', 'Architectural Buildings', 'Art Museums'];EXPERIENCE HUNDERTWASSER UP CLOSE: Art - Achitecture - Nature - Vision Two intriguing museums experiences await the visitors at the KUNST HAUS WIEN. The Museum Hundertwasser presents the world's biggest collection of Austrian exceptional artist...more;['Sun - Sat', '10:00 AM - 6:00 PM'];2-3 hours;48.210991;16.393330;
Graben and Kohlmarkt;1,128 reviews;#19 of 504 Sights & Landmarks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d245707-Reviews-Graben_and_Kohlmarkt-Vienna.html;['Sights & Landmarks', 'Neighborhoods', 'Points of Interest & Landmarks'];Open NowHours Today: 12:00 AM - 11:59 PMSee all hours;['Sun - Sat', '12:00 AM - 11:59 PM'];;48.207729;16.372721;
Stephansplatz;6,011 reviews;#20 of 504 Sights & Landmarks in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d246612-Reviews-Stephansplatz-Vienna.html;['Sights & Landmarks', 'Points of Interest & Landmarks'];Open NowHours Today: 12:00 AM - 11:59 PMSee all hours;['Sun - Sat', '12:00 AM - 11:59 PM'];;48.208172;16.373930;
