Crime Runners;491 reviews;#1 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d8435367-Reviews-Crime_Runners-Vienna.html;['Fun & Games', 'Room Escape Games'];Please book online! Delve into an interactive story - together with your friends! One team, one story, one mission per chapter: Only as a team you will be able to solve the tricky riddles and unravel the dramatic mysteries. You take the roles of...more;['Sun', '11:30 AM - 10:00 PM', 'Mon - Thu', '4:00 PM - 10:00 PM', 'Fri', '1:00 PM - 10:00 PM', 'Sat', '10:00 AM - 10:00 PM'];1-2 hours;48.213997;16.362217;
Escape Mission;366 reviews;#2 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d6131916-Reviews-Escape_Mission-Vienna.html;['Fun & Games', 'Room Escape Games'];Escape Mission- First room escape game in Vienna! Some of you may be familiar with so-called "room-escape" games, where the aim of the game is to escape from a room in 60 minutes with your team. If you are looking for something like that, "Devil's...more;['Mon - Wed', '1:00 PM - 10:00 PM', 'Fri', '1:00 PM - 10:00 PM', 'Sat - Sun', '11:30 AM - 10:00 PM'];1-2 hours;48.211693;16.391937;
First Escape;220 reviews;#3 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d12868807-Reviews-First_Escape-Vienna.html;['Fun & Games', 'Room Escape Games'];First Escape is Vienna's high tech Escape Room. We are the only Escape Room experience right in the first district / city centre, next to Vienna's rich bar and restaurant scene. We offer three exciting interactive escape room quests – each of them...more;['Sun - Sat', '10:00 AM - 9:30 PM'];1-2 hours;48.205490;16.374001;
RoomEscape by Fox In A Box Vienna;274 reviews;#4 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d10404664-Reviews-RoomEscape_by_Fox_In_A_Box_Vienna-Vienna.html;['Fun & Games', 'Room Escape Games'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.195896;16.346476;
Time-Busters;345 reviews;#5 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d7074575-Reviews-Time_Busters-Vienna.html;['Fun & Games', 'Room Escape Games'];The Room Escape and Indoor Adventure Professionals in Vienna At the Time-Busters headquarters in Vienna we have tasks (missions) for you, which you will be required to accomplish. You will have to find clues, beware of traps and open locks. The game...more;['Mon - Fri', '3:00 PM - 10:00 PM', 'Sat - Sun', '11:00 AM - 10:00 PM'];1-2 hours;48.222221;16.372911;
ExitDoors;63 reviews;#6 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d15234571-Reviews-ExitDoors-Vienna.html;['Fun & Games', 'Room Escape Games'];ExitDoors is a third generation escape room in Vienna. We put great focus on thoroughly thought through scenarios, interesting puzzles, the uses of sophisticated technologies and the creation of a gripping athmosphere.;['Sun - Sat', '9:30 AM - 11:00 PM'];;48.215244;16.350897;
Time Travel Vienna;2,799 reviews;#7 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d3316866-Reviews-Time_Travel_Vienna-Vienna.html;['Museums', 'Fun & Games', 'Game & Entertainment Centers', 'Specialty Museums'];- Certificate of Excellence 2015 Winner - Come along on a mysterious journey into the heart of the historical city of Vienna. You will learn the history of Vienna in 50 minutes, in a 1200m² monastery, which is 400 years old. Let your personal tour...more;['Sun - Sat', '10:00 AM - 8:00 PM'];< 1 hour;48.208477;16.368546;
SherLockd - The Escape Game;104 reviews;#8 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d8857145-Reviews-SherLockd_The_Escape_Game-Vienna.html;['Fun & Games', 'Room Escape Games'];What you should know about Sherlockd? It is simple, at least in theory: Escape in 60 minutes! Live Room Escape Game in the 14th district. Put on that famous hat and escape the room within the hour. Be resourceful and work as a team to make sure you...more;['Mon - Thu', '4:00 PM - 11:00 PM', 'Fri', '1:00 PM - 11:00 PM', 'Sat - Sun', '8:30 AM - 11:00 PM'];1-2 hours;48.196899;16.309601;
Vienna Mysteries;65 reviews;#9 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d9569023-Reviews-Vienna_Mysteries-Vienna.html;['Fun & Games', 'Room Escape Games', 'Scavenger Hunts'];You want to explore Vienna in a fun and exciting way and get to know the best places in town? If yes, this is the perfect tour for you. You’ll be working as detective in a world dominated by spies, lies and mysteries. You will have to perform on the...more;['Sun - Sat', '10:00 AM - 6:30 PM'];1-2 hours;48.208340;16.371740;
Masters Of Escape;48 reviews;#10 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d14988891-Reviews-Masters_Of_Escape-Vienna.html;['Fun & Games', 'Room Escape Games'];Our rooms are based on exciting interactive settings so that even experienced groups get amazed. The tasks, riddles and ambience effects are developed by ourselves and give you the perfect diversity in the area of Live Room Escape. Challenge...more;['Sun', '12:00 PM - 8:00 PM', 'Mon', '3:00 PM - 8:00 PM', 'Thu', '3:00 PM - 8:00 PM', 'Fri', '1:00 PM - 10:00 PM', 'Sat', '12:00 PM - 10:00 PM'];;48.189686;16.414255;
Escapers;45 reviews;#11 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d11770415-Reviews-Escapers-Vienna.html;['Fun & Games', 'Room Escape Games'];Suggested Duration:< 1 hour;['Tue - Fri', '1:00 PM - 9:30 PM', 'Sat - Sun', '10:00 AM - 9:30 PM'];;48.223450;16.402269;
Scavenger Escape Vienna;82 reviews;#12 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d12998372-Reviews-Scavenger_Escape_Vienna-Vienna.html;['Fun & Games', 'Room Escape Games'];Our escape rooms are state-of-the-art, high end rooms, built with modern technology to provide the maximum excitement for the players with mysteries and real challenges in an exclusive environment. It is a fun adventure game where you and your team...more;['Sun', '1:00 PM - 9:00 PM', 'Wed - Thu', '4:00 PM - 9:00 PM', 'Fri', '3:00 PM - 10:00 PM', 'Sat', '12:00 PM - 10:00 PM'];1-2 hours;48.202690;16.340990;
Museum of Illusions;623 reviews;#13 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d12590134-Reviews-Museum_of_Illusions-Vienna.html;['Fun & Games', 'Museums', 'Specialty Museums', 'Other Fun & Games'];Welcome to our fascinating world of illusions. Thrilled yet bewildered you will enter a world that will blow your mind but also give you an opportunity to learn all sorts of things... come and visit us! It is sure to be an amazing and unimaginable...more;['Sun - Sat', '10:00 AM - 8:00 PM'];;48.209682;16.366785;
ArchaoNOW;55 reviews;#14 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d12730432-Reviews-ArchaoNOW-Vienna.html;['Fun & Games', 'Scavenger Hunts'];Vienna | History | Mystery: The city of Vienna is a mystery to you? The history, the dark secrets and places intrigue you? Discover your inner researcher and solve the mysteries of this city. With our Scavenger Hunts you will find out about many...more;['Mon - Fri', '10:00 AM - 6:00 PM'];2-3 hours;48.206005;16.375250;
Open The Door;95 reviews;#15 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d8684292-Reviews-Open_The_Door-Vienna.html;['Fun & Games', 'Room Escape Games'];Open The Door is an exciting Escape The Room Game in Vienna and great fun for people at all age. Within 60 minutes, you and your team need to escape from a locked room. How can you manage that? Only with your mind! Exciting rooms are available for...more;['Sun - Sat', '11:00 AM - 10:00 PM'];1-2 hours;48.214962;16.349979;
Exithink;111 reviews;#16 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d7340904-Reviews-Exithink-Vienna.html;['Fun & Games', 'Room Escape Games'];The live escape game, where you and your team are the main characters! Find the lost treasure or the killer(s) of the Orpheum's horror story! EXITHINK made sure you will get the best quality game experience on the market. Experience your capability...more;['Sun - Sat', '9:00 AM - 11:30 PM'];;48.218117;16.387659;
Exit The Room Vienna;216 reviews;#17 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d4788030-Reviews-Exit_The_Room_Vienna-Vienna.html;['Fun & Games', 'Room Escape Games'];Exit The Room is a new, simple and fun live room escape game, designed for small groups of 2-6 people. The goal is simple yet challenging: get out in time! During this uniquely enjoyable and challenging game team members will truly live and breathe...more;['Mon - Fri', '3:45 PM - 10:15 PM', 'Sat - Sun', '10:45 AM - 10:15 PM'];;48.213165;16.341436;
Exit.Guru;51 reviews;#18 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d11910390-Reviews-Exit_Guru-Vienna.html;['Fun & Games', 'Room Escape Games'];Something incredible happend! The crown prince disappeared! And you - the personal life guard of the prince - after a long night, are ignorant about the facts. the probability is that he has been kidnapped, the ennemies of the monarchy getting...more;[];;48.205212;16.352804;
Maze & Labyrinth Schonbrunn;99 reviews;#19 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d7044224-Reviews-Maze_Labyrinth_Schonbrunn-Vienna.html;['Fun & Games', 'Game & Entertainment Centers'];Local WeatherPowered by Weather UndergroundF°C°34°24°Jan39°27°Feb47°32°Mar;[];;48.182407;16.309601;
Escapology Escape Game in Vienna;71 reviews;#20 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d9883892-Reviews-Escapology_Escape_Game_in_Vienna-Vienna.html;['Fun & Games', 'Room Escape Games'];Entertainment and team play are the focus of Live Escape Games. A background story, real adventure, the joint solving of very different puzzles to escape the threatening situation - are called head, patience and the interaction of the group to bring...more;['Sun - Sat', '10:00 AM - 10:00 PM'];;48.211746;16.346931;
Casino Wien;262 reviews;#21 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d245764-Reviews-Casino_Wien-Vienna.html;['Fun & Games', 'Casinos & Gambling'];For the entrance age of majority (18 years) and an official photo identification is obligatory! The flair of Esterhazy Palace combines elegance and a relaxed atmosphere on four floors and provides you with a wide range of games: At the Jackpot Cafe...more;['Sun - Sat', '9:00 AM - 4:00 AM'];;48.204559;16.370813;
Strandbad Gansehaufel;28 reviews;#22 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d10847599-Reviews-Strandbad_Gansehaufel-Vienna.html;['Fun & Games', 'Sports Complexes'];;[];;48.228230;16.428240;
Prater;65 reviews;#23 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d5966675-Reviews-Prater-Vienna.html;['Nature & Parks', 'Fun & Games', 'Game & Entertainment Centers'];Open NowHours Today: 6:00 AM - 9:00 AM, 10:00 AM - 12:00 AMSee all hours;['Sun - Sat', '10:00 AM - 12:00 AM', 'Thu', '6:00 AM - 9:00 AM', 'Sat', '6:00 AM - 9:00 AM'];;48.216400;16.398630;
Christmas Concerts in Vienna;10 reviews;#24 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d19417839-Reviews-Christmas_Concerts_in_Vienna-Vienna.html;['Classes & Workshops', 'Fun & Games', 'Paint & Pottery Studios'];Trumpet - a program of the finest Christmas carols and festive music - in superb interpretations by the trumpet player and organist. Magic Trumpet at St. Anne's Church invites you to pause for a while - moments in which you can escape the hustle and...more;['Sun - Sat', '12:00 AM - 11:30 PM'];;48.204342;16.372089;
NoWayOut Escape Room;64 reviews;#25 of 146 Fun & Games in Vienna;https://www.tripadvisor.com//Attraction_Review-g190454-d15360193-Reviews-NoWayOut_Escape_Room-Vienna.html;['Fun & Games', 'Room Escape Games'];Welcome to No Way Out in Vienna! Home to five of the best escape rooms in the city. At No Way Out, you’ll enter each room as unsuspecting players and leave as heroes! Work together to find clues, solve puzzles and beat the clock… Think you’ve got...more;['Sun - Thu', '10:00 AM - 9:00 PM', 'Fri - Sat', '10:00 AM - 11:00 PM'];;48.205982;16.372589;
